Year,Pos,Player,Similar
2021,SF,Franz Wagner,1.99861050051448
2021,PF,Aaron Gordon,2.69993444729933
2021,SG,Malik Monk,2.71433108942571
2021,PG,Bones Hyland,3.67183217764422
2021,C,Nemanja Bjelica,3.78731564366662
2020,SF,Will Barton,2.41639058330229
2020,PF,Blake Griffin,2.71064367290321
2020,SG,Terrence Ross,3.06092395729969
2020,PG,Kendrick Nunn,3.52697287101808
2020,C-PF,Kelly Olynyk,3.55093071437042
2019,PF,P.J. Washington,2.45191738471184
2019,SF,Will Barton,2.50183998362649
2019,SG,Josh Richardson,2.68130741976468
2019,C,Kelly Olynyk,3.43669224856963
2019,PG,Bruce Brown,3.99252643945182
2018,PG,Tyler Johnson,2.53140446340718
2018,PF,Gordon Hayward,2.55621789532412
2018,SF,Will Barton,2.7302423358425
2018,SG,Jaylen Brown,2.82230099520278
2018,C,Dwight Powell,5.50577588088064
2017,SG,Jeremy Lamb,2.12911781846096
2017,PF,Markieff Morris,2.48567873508567
2017,PG,Tyler Johnson,2.62754046129809
2017,SF,Taurean Prince,2.9441603930244
2017,C,Mike Muscala,4.4803498739879
2016,SF,Aaron Gordon,2.13764822372279
2016,SG,Will Barton,2.23667863318375
2016,C,Kelly Olynyk,2.66723689951453
2016,PG,Tyler Johnson,3.20292858739962
2016,PF,Tobias Harris,3.43289829188183
2015,SG,Will Barton,2.17898752351373
2015,SF,Jeff Green,2.305881553516
2015,C,Kelly Olynyk,2.43480109693718
2015,PF,Tobias Harris,2.46440967727107
2015,PG,Raymond Felton,4.17889584561743
2014,PF,Donatas Motiejūnas,2.86832791984629
2014,SF,Luol Deng,2.97189487216313
2014,C,Kelly Olynyk,3.22759957255917
2014,SG,Gerald Henderson,3.75485108765408
2014,PG,Rodney Stuckey,4.09735568384315
2013,SF,Mike Dunleavy,2.87540734322483
2013,SG,Vince Carter,2.98805941808391
2013,PF,Boris Diaw,3.26203633821547
2013,C,Kelly Olynyk,3.29313672356127
2013,PG,George Hill,3.8530384635612
2012,SG,Bradley Beal,2.61016498938261
2012,SF,Vince Carter,3.18831927679945
2012,PF,Josh McRoberts,3.30569625199712
2012,PG,Jerryd Bayless,4.7441898776671
2012,C,Nick Collison,5.95076973120849
2011,SF,Grant Hill*,2.5809009725607
2011,SG,Vince Carter,2.7916012732567
2011,C,Drew Gooden,3.69687939891605
2011,PG,George Hill,3.82212171736882
2011,PF,Antawn Jamison,3.85755019025997
2010,SF,Grant Hill*,2.12832890972148
2010,PF-SF,Jeff Green,3.21973653860312
2010,SG,John Salmons,3.44122605809449
